time:20150130, dvT0:1.13
time:20160129, dvT0:0.70
SZ300155: avgDV:1.09
time:20120131, dvT0:0.97
time:20130131, dvT0:1.23
time:20140130, dvT0:1.47
time:20150130, dvT0:1.18
time:20160129, dvT0:0.60
SZ000925: avgDV:1.09
time:20120131, dvT0:1.00
time:20130131, dvT0:1.04
time:20140130, dvT0:1.05
time:20150130, dvT0:1.29
SZ300376: avgDV:1.09
time:20150130, dvT0:1.15
time:20160129, dvT0:1.04
SZ002280: avgDV:1.09
time:20120131, dvT0:1.08
time:20130131, dvT0:0.99
time:20140116, dvT0:1.07
time:20150130, dvT0:1.75
time:20160129, dvT0:0.56
SZ000058: avgDV:1.09
time:20130131, dvT0:1.11
time:20140130, dvT0:1.08
time:20150130, dvT0:1.08
SZ002577: avgDV:1.09
time:20120131, dvT0:0.95
time:20130131, dvT0:1.02
time:20140130, dvT0:1.71
time:20150130, dvT0:1.16
time:20160129, dvT0:0.61
SZ002346: avgDV:1.09
time:20120131, dvT0:1.04
time:20130131, dvT0:1.04
time:20150130, dvT0:1.25
time:20160129, dvT0:1.02
SZ002231: avgDV:1.09
time:20120131, dvT0:1.16
time:20130131, dvT0:1.11
time:20140130, dvT0:1.03
time:20150130, dvT0:1.06
SH600610: avgDV:1.09
time:20120131, dvT0:1.00
time:20130131, dvT0:0.93
time:20140121, dvT0:1.02
time:20150130, dvT0:1.08
time:20160128, dvT0:1.41
SZ000426: avgDV:1.09
time:20120131, dvT0:1.27
time:20130131, dvT0:1.04
time:20140130, dvT0:0.95
SZ002373: avgDV:1.09
time:20120131, dvT0:0.98
time:20130131, dvT0:1.11
time:20140130, dvT0:1.48
time:20150130, dvT0:1.13
time:20160107, dvT0:0.75
SZ000625: avgDV:1.09
time:20120131, dvT0:1.14
time:20130131, dvT0:1.31
time:20140130, dvT0:0.94
time:20150130, dvT0:1.18
time:20160129, dvT0:0.86
SZ300300: avgDV:1.09
time:20130131, dvT0:1.15
time:20140130, dvT0:1.43
time:20150130, dvT0:1.09
time:20160129, dvT0:0.67
SH600588: avgDV:1.09
time:20120131, dvT0:0.90
time:20130131, dvT0:1.03
time:20140130, dvT0:1.45
time:20150130, dvT0:1.46
time:20160129, dvT0:0.58
SH600990: avgDV:1.09
time:20120131, dvT0:0.97
time:20130131, dvT0:1.37
time:20140130, dvT0:1.02
time:20150130, dvT0:0.99
SZ300235: avgDV:1.09
time:20120131, dvT0:0.81
time:20130131, dvT0:0.98
time:20140130, dvT0:1.43
time:20150130, dvT0:1.13
SZ300072: avgDV:1.09
time:20120131, dvT0:1.00
time:20130131, dvT0:1.25
time:20140130, dvT0:1.25
time:20150130, dvT0:1.06
time:20160129, dvT0:0.87
SZ002681: avgDV:1.09
time:20130131, dvT0:1.02
time:20140130, dvT0:1.19
time:20150130, dvT0:1.48
time:20160129, dvT0:0.66
SZ002542: avgDV:1.09
time:20120131, dvT0:1.17
time:20130131, dvT0:1.05
time:20150130, dvT0:1.04
SZ000768: avgDV:1.09
time:20120131, dvT0:1.06
time:20130131, dvT0:1.39
time:20140130, dvT0:0.97
time:20150130, dvT0:1.30
time:20160129, dvT0:0.70
SZ002008: avgDV:1.08
time:20120131, dvT0:1.10
time:20130131, dvT0:1.32
time:20140130, dvT0:1.15
time:20150130, dvT0:1.07
time:20160129, dvT0:0.79
SZ000810: avgDV:1.08
time:20130121, dvT0:1.16
time:20140130, dvT0:1.06
time:20150130, dvT0:1.27
time:20160129, dvT0:0.86
SZ002435: avgDV:1.08
time:20120131, dvT0:0.94
time:20130131, dvT0:1.07
time:20140130, dvT0:1.03
time:20150130, dvT0:1.05
time:20160129, dvT0:1.34
SZ002065: avgDV:1.08
time:20120131, dvT0:0.83
time:20130131, dvT0:0.99
time:20140130, dvT0:1.16
time:20150130, dvT0:1.36
SZ002117: avgDV:1.08
time:20120131, dvT0:0.91
time:20130131, dvT0:1.13
time:20140130, dvT0:1.62
time:20150130, dvT0:1.13
time:20160129, dvT0:0.63
SZ002647: avgDV:1.08
time:20120131, dvT0:0.92
time:20130131, dvT0:1.00
time:20140130, dvT0:1.12
time:20150130, dvT0:1.30
SH600661: avgDV:1.08
time:20120131, dvT0:1.00
time:20130131, dvT0:1.06
time:20140130, dvT0:1.44
time:20150130, dvT0:1.20
time:20160129, dvT0:0.71
SZ002172: avgDV:1.08
time:20120131, dvT0:1.06
time:20130131, dvT0:1.44
time:20140130, dvT0:1.12
time:20160129, dvT0:0.71
SZ002245: avgDV:1.08
time:20120131, dvT0:1.08
time:20130131, dvT0:1.05
time:20140130, dvT0:1.24
time:20150130, dvT0:1.37
time:20160129, dvT0:0.67
SH600155: avgDV:1.08
time:20120131, dvT0:1.14
time:20130131, dvT0:0.98
time:20140130, dvT0:1.13
time:20150130, dvT0:1.34
time:20160129, dvT0:0.82
SH600455: avgDV:1.08
time:20130131, dvT0:1.12
time:20140116, dvT0:0.94
time:20150130, dvT0:1.18
SZ002527: avgDV:1.08
time:20120131, dvT0:0.94
time:20130131, dvT0:1.34
time:20140130, dvT0:1.35
time:20150130, dvT0:1.13
time:20160129, dvT0:0.65
SZ000838: avgDV:1.08
time:20120131, dvT0:1.03
time:20130131, dvT0:0.95
time:20140130, dvT0:1.06
time:20150130, dvT0:1.18
time:20160129, dvT0:1.18
SZ002319: avgDV:1.08
time:20120131, dvT0:0.99
time:20130131, dvT0:1.71
time:20140130, dvT0:0.98
time:20150116, dvT0:1.01
time:20160129, dvT0:0.71
SZ300294: avgDV:1.08
time:20130131, dvT0:0.98
time:20140130, dvT0:1.06
time:20150130, dvT0:1.14
time:20160129, dvT0:1.14
SZ002555: avgDV:1.08
time:20120131, dvT0:0.95
time:20130131, dvT0:1.00
time:20140130, dvT0:1.60
time:20150130, dvT0:1.16
time:20160129, dvT0:0.68
SZ000738: avgDV:1.08
time:20120131, dvT0:0.94
time:20130131, dvT0:1.28
time:20140130, dvT0:1.10
time:20150130, dvT0:1.10
time:20160129, dvT0:0.97
SZ002181: avgDV:1.08
time:20120131, dvT0:0.96
time:20130131, dvT0:0.97
time:20140130, dvT0:1.82
time:20150130, dvT0:1.09
time:20160129, dvT0:0.55
SH601000: avgDV:1.08
time:20120131, dvT0:1.03
time:20130131, dvT0:1.11
time:20140130, dvT0:0.91
time:20150130, dvT0:1.27
SH600880: avgDV:1.08
time:20120131, dvT0:0.84
time:20130131, dvT0:1.02
time:20140130, dvT0:1.37
time:20150130, dvT0:1.10
time:20160129, dvT0:1.06
SZ002467: avgDV:1.08
time:20120131, dvT0:0.93
time:20130131, dvT0:1.54
time:20140130, dvT0:1.16
time:20150130, dvT0:1.14
time:20160129, dvT0:0.63
SZ002508: avgDV:1.08
time:20120131, dvT0:1.00
time:20130131, dvT0:1.37
time:20140130, dvT0:0.95
time:20150130, dvT0:1.20
time:20160129, dvT0:0.86
SZ002022: avgDV:1.08
time:20120131, dvT0:0.98
time:20130131, dvT0:1.24
time:20140130, dvT0:1.37
time:20150130, dvT0:1.15
time:20160129, dvT0:0.65
SZ300059: avgDV:1.08
time:20120131, dvT0:0.92
time:20130131, dvT0:1.07
time:20140130, dvT0:1.27
time:20150130, dvT0:1.38
time:20160129, dvT0:0.74
SZ300049: avgDV:1.08
