---summary report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:totalAvgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 


---detail report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:avgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 
index(0), percent(27.10)  count(42) 
SH600108 TBuyData:20120618, pvHi2Op(0.000), TSellData:20120621, dvSelltoBuy:-3.66
SH600108 TBuyData:20120725, pvHi2Op(0.000), TSellData:20120730, dvSelltoBuy:-4.76
SH600108 TBuyData:20120911, pvHi2Op(0.000), TSellData:20120914, dvSelltoBuy:-1.66
SH600108 TBuyData:20121105, pvHi2Op(0.000), TSellData:20121108, dvSelltoBuy:-2.91
SH600108 TBuyData:20121227, pvHi2Op(0.000), TSellData:20130104, dvSelltoBuy:-1.92
SH600108 TBuyData:20130308, pvHi2Op(0.000), TSellData:20130313, dvSelltoBuy:-3.70
SH600108 TBuyData:20130325, pvHi2Op(0.000), TSellData:20130328, dvSelltoBuy:-4.57
SH600108 TBuyData:20130424, pvHi2Op(0.000), TSellData:20130502, dvSelltoBuy:-4.54
SH600108 TBuyData:20130531, pvHi2Op(0.000), TSellData:20130605, dvSelltoBuy:-3.06
SH600108 TBuyData:20130725, pvHi2Op(0.000), TSellData:20130730, dvSelltoBuy:-3.18
SH600108 TBuyData:20130819, pvHi2Op(0.000), TSellData:20130822, dvSelltoBuy:-1.92
SH600108 TBuyData:20130913, pvHi2Op(0.000), TSellData:20130918, dvSelltoBuy:-10.57
SH600108 TBuyData:20131018, pvHi2Op(0.000), TSellData:20131023, dvSelltoBuy:-10.16
SH600108 TBuyData:20131107, pvHi2Op(0.000), TSellData:20131112, dvSelltoBuy:-9.26
SH600108 TBuyData:20131217, pvHi2Op(0.000), TSellData:20131220, dvSelltoBuy:-1.63
SH600108 TBuyData:20131223, pvHi2Op(0.000), TSellData:20131226, dvSelltoBuy:-4.45
SH600108 TBuyData:20140108, pvHi2Op(0.000), TSellData:20140113, dvSelltoBuy:-2.21
SH600108 TBuyData:20140220, pvHi2Op(0.000), TSellData:20140225, dvSelltoBuy:-8.29
SH600108 TBuyData:20140303, pvHi2Op(0.000), TSellData:20140306, dvSelltoBuy:-2.61
SH600108 TBuyData:20140307, pvHi2Op(0.000), TSellData:20140312, dvSelltoBuy:-7.79
SH600108 TBuyData:20140401, pvHi2Op(0.000), TSellData:20140404, dvSelltoBuy:-2.30
SH600108 TBuyData:20140417, pvHi2Op(0.000), TSellData:20140422, dvSelltoBuy:-4.51
SH600108 TBuyData:20140514, pvHi2Op(0.000), TSellData:20140519, dvSelltoBuy:-1.85
SH600108 TBuyData:20140603, pvHi2Op(0.000), TSellData:20140606, dvSelltoBuy:-3.47
SH600108 TBuyData:20140617, pvHi2Op(0.000), TSellData:20140620, dvSelltoBuy:-4.11
SH600108 TBuyData:20140703, pvHi2Op(0.000), TSellData:20140708, dvSelltoBuy:-2.41
SH600108 TBuyData:20140822, pvHi2Op(0.000), TSellData:20140827, dvSelltoBuy:-4.65
SH600108 TBuyData:20141215, pvHi2Op(0.000), TSellData:20141218, dvSelltoBuy:-1.70
SH600108 TBuyData:20141224, pvHi2Op(0.000), TSellData:20141229, dvSelltoBuy:-4.10
SH600108 TBuyData:20150129, pvHi2Op(0.000), TSellData:20150203, dvSelltoBuy:-6.15
SH600108 TBuyData:20150204, pvHi2Op(0.000), TSellData:20150209, dvSelltoBuy:-6.49
SH600108 TBuyData:20150304, pvHi2Op(0.000), TSellData:20150309, dvSelltoBuy:-3.87
SH600108 TBuyData:20150424, pvHi2Op(0.000), TSellData:20150429, dvSelltoBuy:-1.91
