

SH600226---detail report(20160225-21680808)---
No.(0)- Conditon:  destDVVALUE(10.00), duration(1)  Result:totalS2BDVVal(168.38), AvgVal(3.18),totalCount(53), sucPercent(26.42) 
index(0), percent(26.42)  count(14) 
(null) TBuyData:20150130, TSellData:0, dvSelltoBuy:6.18, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150227, TSellData:0, dvSelltoBuy:8.95, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160331, TSellData:0, dvSelltoBuy:8.66, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160630, TSellData:0, dvSelltoBuy:9.06, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160831, TSellData:0, dvSelltoBuy:4.84, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20161014, TSellData:0, dvSelltoBuy:-0.57, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
index(2), percent(36.36)  count(20) 
(null) TBuyData:20111229, TSellData:0, dvSelltoBuy:-20.85, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120831, TSellData:0, dvSelltoBuy:-5.50, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120928, TSellData:0, dvSelltoBuy:-6.60, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121130, TSellData:0, dvSelltoBuy:-18.23, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130408, TSellData:0, dvSelltoBuy:-3.76, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130628, TSellData:0, dvSelltoBuy:-23.42, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
