time:20160129, dvT0:0.87
SH600312: avgDV:1.06, LastDV:2.01
time:20120131, dvT0:0.97
time:20130131, dvT0:1.22
time:20140130, dvT0:1.15
time:20150130, dvT0:1.27
time:20160129, dvT0:0.69
SZ002121: avgDV:1.06, LastDV:2.28
time:20120131, dvT0:1.02
time:20130131, dvT0:1.04
time:20140130, dvT0:1.24
time:20150130, dvT0:1.25
time:20160129, dvT0:0.75
SZ300355: avgDV:1.06, LastDV:2.98
time:20130131, dvT0:1.17
time:20140130, dvT0:0.97
time:20150130, dvT0:1.04
SZ000716: avgDV:1.06, LastDV:2.15
time:20130131, dvT0:1.07
time:20140130, dvT0:1.19
time:20150130, dvT0:1.13
time:20160129, dvT0:0.85
SZ000982: avgDV:1.06, LastDV:1.46
time:20120131, dvT0:1.05
time:20130131, dvT0:1.15
time:20140130, dvT0:0.97
SZ002473: avgDV:1.06, LastDV:2.72
time:20120131, dvT0:1.06
time:20130131, dvT0:0.98
time:20140130, dvT0:1.09
time:20150130, dvT0:1.10
SZ002089: avgDV:1.06, LastDV:2.85
time:20120131, dvT0:0.99
time:20130131, dvT0:1.02
time:20140130, dvT0:1.36
time:20150130, dvT0:1.16
time:20160107, dvT0:0.75
SH600021: avgDV:1.06, LastDV:2.77
time:20120131, dvT0:1.04
time:20130131, dvT0:1.04
time:20140130, dvT0:0.96
time:20150130, dvT0:1.57
time:20160129, dvT0:0.66
SH600612: avgDV:1.05, LastDV:1.68
time:20120131, dvT0:1.13
time:20130131, dvT0:1.13
time:20140130, dvT0:1.08
time:20150130, dvT0:1.09
time:20160129, dvT0:0.84
SZ002608: avgDV:1.05, LastDV:1.00
time:20120131, dvT0:1.02
time:20130131, dvT0:1.21
time:20140130, dvT0:0.98
time:20150130, dvT0:1.01
SZ002107: avgDV:1.05, LastDV:2.67
time:20120131, dvT0:0.94
time:20130131, dvT0:1.07
time:20140130, dvT0:1.16
time:20150130, dvT0:1.50
time:20160129, dvT0:0.60
SZ300344: avgDV:1.05, LastDV:2.38
time:20130131, dvT0:1.06
time:20140130, dvT0:1.03
time:20150130, dvT0:1.07
SZ002416: avgDV:1.05, LastDV:1.22
time:20120131, dvT0:0.94
time:20130131, dvT0:1.17
time:20140130, dvT0:1.22
time:20150130, dvT0:1.10
time:20160129, dvT0:0.82
SZ300083: avgDV:1.05, LastDV:2.06
time:20120131, dvT0:0.97
time:20130131, dvT0:1.23
time:20140130, dvT0:1.14
time:20150130, dvT0:1.19
time:20160129, dvT0:0.72
SH600857: avgDV:1.05, LastDV:1.61
time:20120131, dvT0:1.24
time:20130131, dvT0:1.08
time:20140127, dvT0:1.23
time:20150130, dvT0:1.11
time:20160129, dvT0:0.60
SZ300057: avgDV:1.05, LastDV:1.80
time:20120131, dvT0:0.98
time:20130131, dvT0:1.47
time:20140130, dvT0:1.12
time:20150130, dvT0:1.07
time:20160129, dvT0:0.62
SH600718: avgDV:1.05, LastDV:1.87
time:20120131, dvT0:1.02
time:20130131, dvT0:1.14
time:20140130, dvT0:1.32
time:20150130, dvT0:1.18
time:20160129, dvT0:0.60
SZ000409: avgDV:1.05, LastDV:2.24
time:20120131, dvT0:1.07
time:20130131, dvT0:1.28
time:20140130, dvT0:0.98
time:20150130, dvT0:1.15
time:20160129, dvT0:0.77
SZ000416: avgDV:1.05, LastDV:1.49
time:20120131, dvT0:1.13
time:20130131, dvT0:1.06
time:20140130, dvT0:1.17
time:20150130, dvT0:1.24
time:20160129, dvT0:0.66
SH600180: avgDV:1.05, LastDV:2.45
time:20120131, dvT0:0.83
time:20130131, dvT0:1.13
time:20140130, dvT0:1.39
time:20150130, dvT0:1.26
time:20160129, dvT0:0.64
SH600893: avgDV:1.05, LastDV:2.78
time:20120131, dvT0:0.99
time:20130122, dvT0:1.13
time:20140130, dvT0:1.26
time:20150130, dvT0:1.08
time:20160129, dvT0:0.79
SZ300335: avgDV:1.05, LastDV:2.65
time:20130131, dvT0:1.12
time:20140130, dvT0:1.11
time:20150130, dvT0:1.07
time:20160104, dvT0:0.91
SH600055: avgDV:1.05, LastDV:2.15
time:20120131, dvT0:0.95
time:20130131, dvT0:1.23
time:20140130, dvT0:1.25
time:20150130, dvT0:1.18
time:20160129, dvT0:0.62
SZ000550: avgDV:1.05, LastDV:1.86
time:20120131, dvT0:1.12
time:20130131, dvT0:1.03
time:20140130, dvT0:0.96
