time:20150130, dvT0:1.08, dvHigh:1.16
time:20160129, dvT0:0.79, dvHigh:1.04
No88 SZ300335: avgDV:1.05, avgHighDV:1.13, LastDV:2.65
time:20130131, dvT0:1.12, dvHigh:1.27
time:20140130, dvT0:1.11, dvHigh:1.13
time:20150130, dvT0:1.07, dvHigh:1.13
time:20160104, dvT0:0.91, dvHigh:1.00
No89 SH600055: avgDV:1.05, avgHighDV:1.18, LastDV:2.15
time:20120131, dvT0:0.95, dvHigh:1.03
time:20130131, dvT0:1.23, dvHigh:1.27
time:20140130, dvT0:1.25, dvHigh:1.27
time:20150130, dvT0:1.18, dvHigh:1.29
time:20160129, dvT0:0.62, dvHigh:1.05
No90 SZ000550: avgDV:1.05, avgHighDV:1.13, LastDV:1.86
time:20120131, dvT0:1.12, dvHigh:1.18
time:20130131, dvT0:1.03, dvHigh:1.05
time:20140130, dvT0:0.96, dvHigh:1.05
time:20150130, dvT0:1.28, dvHigh:1.39
time:20160129, dvT0:0.84, dvHigh:1.00
No91 SH601311: avgDV:1.05, avgHighDV:1.15, LastDV:1.95
time:20120131, dvT0:1.16, dvHigh:1.17
time:20130131, dvT0:1.30, dvHigh:1.32
time:20140130, dvT0:1.05, dvHigh:1.06
time:20150130, dvT0:1.10, dvHigh:1.18
time:20160129, dvT0:0.63, dvHigh:1.00
No92 SH600523: avgDV:1.05, avgHighDV:1.21, LastDV:1.61
time:20120131, dvT0:1.10, dvHigh:1.22
time:20130131, dvT0:1.42, dvHigh:1.66
time:20140130, dvT0:0.98, dvHigh:1.03
time:20150130, dvT0:1.09, dvHigh:1.12
time:20160129, dvT0:0.65, dvHigh:1.03
No93 SZ002024: avgDV:1.05, avgHighDV:1.15, LastDV:1.28
