---summary report(20160125-20200101)---
SH600766 TBuyData:20160519(3), pvHi2Op(1.057), TSellData:20160524(3), dvSelltoBuy:1.85
SH600767 TBuyData:20160704(3), pvHi2Op(1.032), TSellData:20160707(3), dvSelltoBuy:1.11
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160307(3), dvSelltoBuy:0.71
SZ000925 TBuyData:20160718(4), pvHi2Op(1.019), TSellData:20160721(3), dvSelltoBuy:1.11
SZ002203 TBuyData:20160309(4), pvHi2Op(1.036), TSellData:20160314(3), dvSelltoBuy:3.34
SZ002263 TBuyData:20160621(4), pvHi2Op(1.072), TSellData:20160624(3), dvSelltoBuy:0.32
SZ002643 TBuyData:20160524(3), pvHi2Op(1.023), TSellData:20160527(3), dvSelltoBuy:-0.39
index(2), percent(27.27)  count(18) 
SH600226 TBuyData:20160304(1), pvHi2Op(0.000), TSellData:20160309(3), dvSelltoBuy:-2.78
SH600401 TBuyData:20160509(3), pvHi2Op(1.014), TSellData:20160512(3), dvSelltoBuy:-9.45
SH600512 TBuyData:20160727(4), pvHi2Op(1.018), TSellData:20160801(3), dvSelltoBuy:-3.32
SH600781 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160308(3), dvSelltoBuy:-1.99
SH600864 TBuyData:20160420(1), pvHi2Op(0.000), TSellData:20160504(3), dvSelltoBuy:-2.01
SH601866 TBuyData:20160511(1), pvHi2Op(0.000), TSellData:20160516(3), dvSelltoBuy:-2.63
SZ000066 TBuyData:20160325(4), pvHi2Op(1.037), TSellData:20160330(3), dvSelltoBuy:-1.90
SZ000628 TBuyData:20160422(1), pvHi2Op(0.000), TSellData:20160427(3), dvSelltoBuy:-2.14
SZ000835 TBuyData:20160728(4), pvHi2Op(1.055), TSellData:20160802(3), dvSelltoBuy:-1.91
SZ000892 TBuyData:20160517(1), pvHi2Op(0.000), TSellData:20160520(3), dvSelltoBuy:-9.70
SZ002075 TBuyData:20160714(2), pvHi2Op(1.006), TSellData:20160719(3), dvSelltoBuy:-3.97
SZ002084 TBuyData:20160729(3), pvHi2Op(1.053), TSellData:20160803(3), dvSelltoBuy:-2.73
SZ002134 TBuyData:20160803(1), pvHi2Op(0.000), TSellData:20160808(3), dvSelltoBuy:-5.44
SZ002145 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160621(3), dvSelltoBuy:-8.30
